Index,Body of Size Rank 1 Area,Body of Size Rank 2 Area,Body of Size Rank 3 Area,Body of Size Rank 4 Area,Body of Size Rank 5 Area
244,292216.47,223270.97,113042.95,56280.297,45306.133
245,292288.6,223317.8,113032.63,54679.695,46092.184
246,293090.7,223357.81,113028.28,54672.887,45350.117
247,292218.34,223117.33,112999.06,54671.848,45344.484
248,292238.7,223367.14,112984.64,54693.24,45375.84
249,292165.94,224122.12,112998.76,54683.055,45399.8
250,291444.16,223084.55,112189.37,54675.3,45390.438
251,291465.7,223422.89,112161.984,54687.375,44571.758
252,291522.66,223070.62,112182.39,54664.45,44601.008
253,292314.47,222723.48,114290.18,57801.84,43126.18
254,291080.16,224044.38,114681.234,57189.61,43399.457
255,291881.3,222950.95,114627.97,57984.35,43396.684
256,291878.56,223163.89,114600.33,57984.35,43370.797
257,291847.5,223300.95,113808.78,57992.63,43384.516
258,292632.4,223045.9,113783.33,58001.75,43383.855
259,292613.06,223214.17,113847.75,58004.086,43388.06
260,291841.97,223140.42,113831.95,58015.61,43367.773
261,292553.06,221478.95,113811.36,57995.656,44153.82
262,292636.94,221593.47,113782.164,57997.023,44155.777
263,292720.78,222496.92,113777.766,57980.14,44154.824
264,291886.9,221529.55,113768.66,57989.1,44154.164
265,291896.44,221735.88,113744.88,57972.098,44131.254
266,292696.38,222004.05,113682.25,57208.77,44174.773
267,291049.53,221688.4,113678.65,57191.723,44132.96
268,291110.78,221960.94,113637.78,57221.594,44752.465
269,291894.97,222047.25,113585.57,57219.4,44132.496
270,291926.28,221950.88,113536.24,57220.035,44116.094
271,292683.8,222196.03,113512.63,57233.434,44102.56
272,293636.88,221962.11,113522.78,57257.316,44106.16
273,292806.8,221913.17,113471.94,57222.914,44095.547
274,292828.34,222106.16,112639.195,57230.93,44067.11
275,291192.66,221833.88,113392.984,57217.83,44777.64
276,291195.62,222646.6,114117.86,57203.867,44776.707
277,291240.2,222847.1,114126.59,57204.344,44777.0
278,291180.84,222744.5,114073.72,57205.83,44774.652
279,291990.66,222659.7,114083.35,57208.9,44777.81
280,292016.84,222933.89,114052.84,57188.133,44760.555
281,290460.44,222668.81,114044.71,57186.69,44764.918
282,291309.62,222621.28,114043.266,57162.01,44764.125
283,292115.75,222963.17,113230.65,57166.562,44765.105
284,291365.94,223374.14,113196.016,57151.28,44742.453
285,291319.16,223580.64,113174.64,57136.59,44763.414
286,291295.78,223673.39,113162.37,57154.4,44748.395
287,291314.75,223362.58,113167.53,57106.867,44737.76
288,291208.9,223581.39,113116.59,56323.61,44743.28
289,291360.28,223465.95,113096.89,56302.37,44706.55
290,291363.4,224062.08,113871.586,56302.934,44709.773
291,292218.28,223426.2,113853.97,56297.42,45311.332
292,291435.56,223364.73,113831.79,56303.1,45311.137
293,292092.56,223304.5,113033.195,56270.33,45311.1
294,292129.22,223442.9,113027.055,55482.312,46122.473
295,292108.56,223312.42,112991.98,56272.26,46090.48
296,292120.0,223307.12,112991.62,55445.29,45324.004
297,292105.97,223634.12,113021.5,55449.17,44620.54
298,292139.53,223285.22,113003.1,55455.53,45279.035
299,292200.16,223317.38,112992.11,54672.227,45347.234
300,292238.53,223610.56,113022.12,54689.48,45358.53
301,292255.12,223306.66,113007.48,54694.09,45351.887
302,291441.3,222524.31,112192.99,54696.34,45389.99
303,291466.78,222559.1,112184.695,54702.88,45377.637
304,291471.28,222960.1,112212.43,54694.246,44560.766
305,291415.94,223285.89,112195.0,54687.07,44613.266
306,291427.1,223158.98,112181.76,54680.4,44589.0
307,291488.38,223040.48,112193.52,54666.08,43913.633
308,291525.25,224027.75,112150.31,54646.473,43877.633
309,291608.16,223852.8,112152.72,55451.477,43848.5
310,293093.6,223852.38,112093.06,55430.9,44408.184
311,292291.3,224721.53,112067.41,56200.8,44643.51
312,292353.1,224660.97,112020.664,56157.305,44649.902
313,291849.16,223211.9,113853.04,58007.1,44161.996
314,292597.97,222352.84,113826.0,58028.91,43349.594
